Name,Dosage Form,Manufacturer,Expiry_Date,Sales_Count,Pharmacy_Name,day_of_sales
Acetocillin,Cream,Roche Holding AG,2023-07-26,64,CVS Pharmacy,2022-11-29
Ibuprocillin,Injection,CSL Limited,2024-06-07,397,H-E-B Pharmacy,2024-03-06
Dextrophen,Ointment,Johnson & Johnson,2023-10-29,91,Lloyds Pharmacy,2024-12-05
Clarinazole,Syrup,AbbVie Inc.,2026-03-26,370,Albertsons Pharmacy,2025-04-22
Amoxicillin,Tablet,Teva Pharmaceutical Industries Ltd.,2024-06-18,208,Safeway Pharmacy,2024-03-08
Ibupromycin,Injection,Takeda Pharmaceutical Company Limited,2024-05-30,400,Safeway Pharmacy,2024-01-24
Metovir,Ointment,Takeda Pharmaceutical Company Limited,2026-08-14,441,Guardian Pharmacy,2024-09-22
Ibuprovir,Syrup,Eli Lilly and Company,2024-09-25,362,Rexall Pharmacy,2023-08-25
Cefcillin,Tablet,Takeda Pharmaceutical Company Limited,2023-08-26,423,Meijer Pharmacy,2023-02-27
Acetomycin,Inhaler,Novo Nordisk A/S,2025-08-18,336,HealthPlus,2025-07-17
Ibuprocillin,Ointment,AbbVie Inc.,2023-12-05,439,CarePlus Pharmacy,2023-10-15
Acetonazole,Ointment,Bayer AG,2024-05-27,191,Walgreens,2023-12-25
Dolocillin,Ointment,Novo Nordisk A/S,2025-11-14,339,Shoppers Drug Mart,2025-03-07
Cefmet,Tablet,AstraZeneca plc,2024-10-05,74,Uniprix,2024-06-13
Dolophen,Capsule,Johnson & Johnson,2024-08-22,56,CarePlus Pharmacy,2023-05-16
Ibupronazole,Injection,Novartis AG,2025-05-23,372,CVS Pharmacy,2023-08-09
Amoxiprofen,Ointment,Novo Nordisk A/S,2023-06-05,315,Guardian Pharmacy,2023-05-26
Acetomycin,Drops,Roche Holding AG,2025-03-25,229,Meijer Pharmacy,2024-02-06
Amoxistatin,Inhaler,Sanofi S.A.,2025-07-01,90,Dis-Chem Pharmacy,2025-05-31
Dextrocillin,Inhaler,Sanofi S.A.,2026-04-25,455,Rexall Pharmacy,2025-04-04
Metovir,Injection,"Merck & Co., Inc.",2023-03-07,394,MediCare,2023-05-23
Cefmet,Cream,"Merck & Co., Inc.",2024-07-17,362,Safeway Pharmacy,2023-04-26
Clariphen,Syrup,GlaxoSmithKline plc,2024-07-06,449,Albertsons Pharmacy,2024-07-05
Ibuprocillin,Inhaler,Bristol-Myers Squibb Company,2025-06-26,80,CVS Pharmacy,2024-11-17
Dolomet,Drops,Amgen Inc.,2025-07-20,136,MediCare,2025-06-29
Acetoprofen,Inhaler,CSL Limited,2024-12-03,173,Health Mart Pharmacy,2024-09-28
Amoximet,Ointment,"Gilead Sciences, Inc.",2023-11-26,365,MediCare,2024-06-21
Cefmet,Injection,Boehringer Ingelheim GmbH,2024-05-19,398,Duane Reade,2023-12-05
Doloprofen,Inhaler,Eli Lilly and Company,2025-08-19,347,Safeway Pharmacy,2024-03-23
Clariprofen,Tablet,Pfizer Inc.,2026-03-30,346,Walgreens,2024-06-02
Metocillin,Tablet,Eli Lilly and Company,2024-12-22,92,MedPlus,2022-09-22
Ibupromycin,Capsule,Roche Holding AG,2025-01-16,72,Health Mart Pharmacy,2024-09-17
Cefstatin,Ointment,Roche Holding AG,2023-09-19,247,Health Mart Pharmacy,2023-03-05
Metomycin,Capsule,Pfizer Inc.,2024-08-24,307, Superdrug,2024-09-22
Acetomycin,Syrup,Bayer AG,2024-11-16,388,Clicks Pharmacy,2024-07-02
Metoprofen,Capsule,Novartis AG,2025-01-18,411,Walmart Pharmacy,2025-01-08
Clarivir,Tablet,Bristol-Myers Squibb Company,2025-05-04,82,Health Mart Pharmacy,2023-03-21
Ibuproprofen,Cream,CSL Limited,2025-07-05,128,Guardian Pharmacy,2023-08-06
Metocillin,Cream,Amgen Inc.,2024-07-31,133,PharmaChoice,2024-08-05
Cefprofen,Tablet,Novartis AG,2025-11-11,277,Apollo Pharmacy,2025-03-18
Dextromycin,Capsule,Takeda Pharmaceutical Company Limited,2024-02-08,261,MedPlus,2023-02-20
Acetonazole,Ointment,Takeda Pharmaceutical Company Limited,2024-06-27,233,Target Pharmacy,2024-07-01
Dextromycin,Inhaler,AbbVie Inc.,2024-12-07,269,Publix Pharmacy,2024-12-04
Ibupromycin,Injection,Boehringer Ingelheim GmbH,2023-10-29,261,Walmart Pharmacy,2022-06-06
Amoxicillin,Cream,Amgen Inc.,2024-03-26,89,H-E-B Pharmacy,2023-04-14
Ibupronazole,Cream,Eli Lilly and Company,2025-03-07,109,Dis-Chem Pharmacy,2024-05-01
Clariprofen,Injection,Takeda Pharmaceutical Company Limited,2026-04-06,474,H-E-B Pharmacy,2025-02-01
Ibupromycin,Inhaler,Teva Pharmaceutical Industries Ltd.,2025-03-27,117,Pharmasave,2024-04-07
Acetophen,Cream,"Merck & Co., Inc.",2025-12-20,482,Duane Reade,2025-02-13
Dextrostatin,Capsule,"Merck & Co., Inc.",2025-06-25,319,PharmaChoice,2022-08-29
Dolomet,Tablet,Novo Nordisk A/S,2025-07-30,193,Dis-Chem Pharmacy,2024-12-09
Metophen,Tablet,AstraZeneca plc,2023-09-14,167,Costco Pharmacy,2024-01-28
Clariphen,Syrup,Takeda Pharmaceutical Company Limited,2025-08-03,332,Netmeds,2025-05-04
Cefcillin,Ointment,Roche Holding AG,2025-08-29,248,Rite Aid,2024-07-27
Amoximet,Capsule,Johnson & Johnson,2023-09-17,256,Kroger Pharmacy,2024-09-21
Amoxivir,Syrup,Novartis AG,2026-09-05,410,HealthPlus,2025-03-19
Metophen,Drops,Takeda Pharmaceutical Company Limited,2023-07-08,97,Shoppers Drug Mart,2022-08-27
Clariphen,Ointment,AbbVie Inc.,2024-02-27,482,Rexall Pharmacy,2024-03-16
Cefmet,Injection,Sanofi S.A.,2023-12-29,246,Watsons,2023-02-15
Cefnazole,Inhaler,CSL Limited,2023-05-25,311,Pharmasave,2023-02-05
Acetovir,Injection,"Gilead Sciences, Inc.",2025-01-31,352,Health Mart Pharmacy,2023-12-07
Dextrophen,Inhaler,"Merck & Co., Inc.",2025-01-31,420,HealthPlus,2024-08-24
Amoxinazole,Ointment,Pfizer Inc.,2025-11-26,83,Safeway Pharmacy,2023-11-29
Dextromet,Syrup,AstraZeneca plc,2024-05-26,393,CVS Pharmacy,2024-04-21
Clarinazole,Syrup,Novartis AG,2025-03-13,318,Rexall Pharmacy,2024-12-31
Ibuproprofen,Inhaler,Amgen Inc.,2023-08-20,106,Watsons,2024-02-15
Clarinazole,Tablet,Novartis AG,2022-12-19,467,Apollo Pharmacy,2024-10-14
Clariprofen,Cream,Boehringer Ingelheim GmbH,2026-02-26,324,Netmeds,2025-01-05
Clarimycin,Syrup,Biogen Inc.,2025-02-28,168,H-E-B Pharmacy,2024-07-13
Acetostatin,Inhaler,CSL Limited,2024-12-11,281,Shoppers Drug Mart,2024-09-06
Ibuprophen,Ointment,AbbVie Inc.,2024-09-16,101,WellnessPharm,2024-09-02
Ibuprovir,Capsule,Teva Pharmaceutical Industries Ltd.,2024-02-18,356,Guardian Pharmacy,2024-06-06
Cefnazole,Capsule,Eli Lilly and Company,2024-12-07,50,PharmaChoice,2024-08-12
Amoxinazole,Tablet,Sanofi S.A.,2023-12-25,198,Kroger Pharmacy,2023-07-08
Metovir,Inhaler,"Gilead Sciences, Inc.",2023-08-03,415,WellnessPharm,2023-09-13
Clarimet,Injection,AstraZeneca plc,2025-11-17,131,PharmaSave,2024-05-16
Acetomet,Drops,GlaxoSmithKline plc,2022-10-17,418,Health Mart Pharmacy,2024-06-07
Dolomet,Syrup,Johnson & Johnson,2025-05-02,294,WellnessPharm,2024-02-03
Cefcillin,Inhaler,Eli Lilly and Company,2023-05-17,188,Watsons,2024-08-27
